Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,date,strain,country
OM735982,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Bafodia,Sierra Leone,Mastomys natalensis,,2019-09-08,2019-09-08,OM735982,Sierra Leone
OM735984,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Bafodia,Sierra Leone,Mastomys natalensis,,2019-09-08,2019-09-08,OM735984,Sierra Leone
OM735986,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Bafodia,Sierra Leone,Mastomys natalensis,,2019-09-07,2019-09-07,OM735986,Sierra Leone
OM735988,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Makump,Sierra Leone,Mastomys natalensis,,2019-08-02,2019-08-02,OM735988,Sierra Leone
OM735990,Mammarenavirus lassaense,"Ghersi,B., Vucak,M., Nichols,J., Bangura,J., Davison,A.J., Bird,B.","University of Glasgow, Centre for Virus Research",United Kingdom,2022-07-02,,Mammarenavirus lassaense,complete,Sierra Leone: Barlie,Sierra Leone,Lophuromys sikapusi,,2019-07-13,2019-07-13,OM735990,Sierra Leone
OM140827,Mammarenavirus lassaense,"Spengler,J.R., Kainulainen,M.H., Welch,S.R., Coleman-McCray,J.A.D., Harmon,J.R., Condrey,J.A., Scholte,F.E.M., Nichol,S.T., Montgomery,J.M., Albarino,C.G., Spiropoulou,C.F.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2022-02-19,813877,Mammarenavirus lassaense,complete,Nigeria,Nigeria,Homo sapiens,,1989,1989,OM140827,Nigeria
OM140829,Mammarenavirus lassaense,"Spengler,J.R., Kainulainen,M.H., Welch,S.R., Coleman-McCray,J.A.D., Harmon,J.R., Condrey,J.A., Scholte,F.E.M., Nichol,S.T., Montgomery,J.M., Albarino,C.G., Spiropoulou,C.F.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2022-02-19,813878,Mammarenavirus lassaense,complete,Nigeria,Nigeria,Homo sapiens,,2007,2007,OM140829,Nigeria
OM140831,Mammarenavirus lassaense,"Spengler,J.R., Kainulainen,M.H., Welch,S.R., Coleman-McCray,J.A.D., Harmon,J.R., Condrey,J.A., Scholte,F.E.M., Nichol,S.T., Montgomery,J.M., Albarino,C.G., Spiropoulou,C.F.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2022-02-19,813888,Mammarenavirus lassaense,complete,Nigeria,Nigeria,Homo sapiens,,2000,2000,OM140831,Nigeria
MZ169791,Mammarenavirus lassaense,"Stein,D.R., Warner,B.M., Audet,J., Soule,G., Sroga,P., Griffin,B.D., Grolla,A., Tierney,K., Albietz,A., Kobasa,D., Musa,A.S., Ahmad,A., Akinpelu,A., Mba,N., Qiu,X., Ihekweazu,C., Safronetz,D., Leung,A.","Public Health Agency of Canada, Special Pathogens",Canada,2021-10-17,H.sapiens-wt/NGA/2018/NML_33,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2018,2018,MZ169791,Nigeria
MZ169793,Mammarenavirus lassaense,"Stein,D.R., Warner,B.M., Audet,J., Soule,G., Sroga,P., Griffin,B.D., Grolla,A., Tierney,K., Albietz,A., Kobasa,D., Musa,A.S., Ahmad,A., Akinpelu,A., Mba,N., Qiu,X., Ihekweazu,C., Safronetz,D., Leung,A.","Public Health Agency of Canada, Special Pathogens",Canada,2021-10-17,H.sapiens-wt/NGA/2018/NML_46,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2018,2018,MZ169793,Nigeria
MZ169799,Mammarenavirus lassaense,"Stein,D.R., Warner,B.M., Audet,J., Soule,G., Sroga,P., Griffin,B.D., Grolla,A., Tierney,K., Albietz,A., Kobasa,D., Musa,A.S., Ahmad,A., Akinpelu,A., Mba,N., Qiu,X., Ihekweazu,C., Safronetz,D., Leung,A.","Public Health Agency of Canada, Special Pathogens",Canada,2021-10-17,H.sapiens-wt/NGA/2018/NML_61,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,,2018,2018,MZ169799,Nigeria
MW039388,Mammarenavirus lassaense,"Bangura,U., Buanie,J., Lamin,J., Davis,C., Bongo,G.N., Dawson,M., Ansumana,R., Sondufu,D., Thomson,E.C., Sahr,F., Fichet-Calvet,E., Thomson,E.","Bernhard-Nocht Institute for Tropical Medicine, Virology",Germany,2021-02-08,,Mammarenavirus lassaense,partial,Sierra Leone: Nyandeyama,Sierra Leone,Mastomys natalensis,blood,2014-04-28,2014-04-28,MW039388,Sierra Leone
MW039389,Mammarenavirus lassaense,"Bangura,U., Buanie,J., Lamin,J., Davis,C., Bongo,G.N., Dawson,M., Ansumana,R., Sondufu,D., Thomson,E.C., Sahr,F., Fichet-Calvet,E., Thomson,E.","Bernhard-Nocht Institute for Tropical Medicine, Virology",Germany,2021-02-08,,Mammarenavirus lassaense,partial,Sierra Leone: Yakaji,Sierra Leone,Mastomys natalensis,blood,2014-04-10,2014-04-10,MW039389,Sierra Leone
MW039390,Mammarenavirus lassaense,"Bangura,U., Buanie,J., Lamin,J., Davis,C., Bongo,G.N., Dawson,M., Ansumana,R., Sondufu,D., Thomson,E.C., Sahr,F., Fichet-Calvet,E., Thomson,E.","Bernhard-Nocht Institute for Tropical Medicine, Virology",Germany,2021-02-08,,Mammarenavirus lassaense,partial,Sierra Leone: Yakaji,Sierra Leone,Mastomys natalensis,blood,2014-04-10,2014-04-10,MW039390,Sierra Leone
MW039391,Mammarenavirus lassaense,"Bangura,U., Buanie,J., Lamin,J., Davis,C., Bongo,G.N., Dawson,M., Ansumana,R., Sondufu,D., Thomson,E.C., Sahr,F., Fichet-Calvet,E., Thomson,E.","Bernhard-Nocht Institute for Tropical Medicine, Virology",Germany,2021-02-08,,Mammarenavirus lassaense,partial,Sierra Leone: Yakaji,Sierra Leone,Mastomys natalensis,blood,2014-04-11,2014-04-11,MW039391,Sierra Leone
MT861994,Mammarenavirus lassaense,"Magassouba,N., Koivogui,E., Conde,S., Kone,M., Koropogui,M., Soropogui,B., Kekoura,I., Hinzmann,J., Guenther,S., Keita,S., Duraffour,S., Fichet-Calvet,E., N'Faly Magassouba,N., Fichet-Calve,E.","Bernhard Nocht Institute for Tropical Medicine, Virology dpt.",Germany,2020-10-03,LASV/GUI/KIS-2019,Mammarenavirus lassaense,partial,Guinea: Kissidougou,Guinea,Homo sapiens,blood,2019-01-28,2019-01-28,MT861994,Guinea
MT193277,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16069,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-02-23,2016-02-23,MT193277,Benin
MT193278,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16070,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-01-29,2016-01-29,MT193278,Benin
MT193279,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16071,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-02-07,2016-02-07,MT193279,Benin
MT193280,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16082,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-03-05,2016-03-05,MT193280,Benin
MT193281,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16090,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-03-13,2016-03-13,MT193281,Benin
MT193282,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16131,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-04-10,2016-04-10,MT193282,Benin
MT193283,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16081,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-01-30,2016-01-30,MT193283,Benin
MT193284,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-14-26530,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2014-10-23,2014-10-23,MT193284,Benin
MT193285,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-14-26529,Mammarenavirus lassaense,partial,Benin,Benin,Homo sapiens,,2014-10-25,2014-10-25,MT193285,Benin
MT193286,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16-3490,Mammarenavirus lassaense,partial,Benin,Benin,Homo sapiens,,2016-01-21,2016-01-21,MT193286,Benin
MT193288,Mammarenavirus lassaense,"Yadouleton,A., Picard,C., Rieger,T., Loko,F., Cadar,D., Kouthon,E.C., Job,E.O., Bankole,H., Oestereich,L., Gbaguidi,F., Pahlman,M., Becker-Ziaja,B., Journeaux,A., Pannetier,D., Mely,S., Mundweiler,S., Thomas,D., Kohossi,L., Saizonou,R., Kakai,C.G., Da Silva,M., Kossoubedie,S., Kakonku,A.L., M'Pele,P., Gunther,S., Baize,S., Fichet-Calvet,E.","UBIVE, Virology",France,2020-08-18,BEN-16-3488,Mammarenavirus lassaense,complete,Benin,Benin,Homo sapiens,,2016-01-21,2016-01-21,MT193288,Benin
MH028396,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Odo-akaba,Benin,Mus baoulei,blood,2017-10-13,2017-10-13,MH028396,Benin
MH028398,Mammarenavirus lassaense,"Yadouleton,A., Achaz,A., Kourouma,F., Saizounou,R., Baptiste,J.-P., Gunther,S., Fichet-Calvet,E.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-04-29,,Mammarenavirus lassaense,partial,Benin: Worogui,Benin,Mus baoulei,blood,2017-09-24,2017-09-24,MH028398,Benin
MK656414,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3604,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28,2015-08-28,MK656414,Cote d'Ivoire
MK656415,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3609,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28,2015-08-28,MK656415,Cote d'Ivoire
MK656416,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3625,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29,2015-08-29,MK656416,Cote d'Ivoire
MK656417,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3629,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29,2015-08-29,MK656417,Cote d'Ivoire
MK656418,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3630,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29,2015-08-29,MK656418,Cote d'Ivoire
MK656419,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R124,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-20,2013-08-20,MK656419,Cote d'Ivoire
MK656420,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R132,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22,2013-08-22,MK656420,Cote d'Ivoire
MK656421,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_CIV139,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22,2013-08-22,MK656421,Cote d'Ivoire
MK656422,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3523,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-24,2015-08-24,MK656422,Cote d'Ivoire
MK656423,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3706,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07,2015-09-07,MK656423,Cote d'Ivoire
MK656424,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3711,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07,2015-09-07,MK656424,Cote d'Ivoire
MK656425,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3713,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07,2015-09-07,MK656425,Cote d'Ivoire
MK656426,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3715,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07,2015-09-07,MK656426,Cote d'Ivoire
MN275173,Mammarenavirus lassaense,"Maruyama,J., Manning,J.T., Mateer,E.J., Sattler,R.A., Bukreyeva,N., Huang,C., Paessler,S.","University of Texas Medical Branch, Pthology",USA,2019-09-18,LF2384-NS-DIA-1,Mammarenavirus lassaense,complete,Sierra Leone,Sierra Leone,Homo sapiens,blood,2012,2012,MN275173,Sierra Leone
MH215279,Mammarenavirus lassaense,"Wiley,M.R., Prieto,K., Reyes,D., Chitty,J.A., Fakoli,L., Bolay,F., Palacios,G.","United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences",USA,2019-04-16,LF18001,Mammarenavirus lassaense,partial,Liberia: Bong,Liberia,Homo sapiens,blood,2018-01-10,2018-01-10,MH215279,Liberia
MH215281,Mammarenavirus lassaense,"Wiley,M.R., Prieto,K., Reyes,D., Chitty,J.A., Fakoli,L., Bolay,F., Palacios,G.","United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences",USA,2019-04-16,LF18002,Mammarenavirus lassaense,partial,Liberia: Nimba,Liberia,Homo sapiens,blood,2018-01-10,2018-01-10,MH215281,Liberia
MH215283,Mammarenavirus lassaense,"Wiley,M.R., Prieto,K., Reyes,D., Chitty,J.A., Fakoli,L., Bolay,F., Palacios,G.","United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences",USA,2019-04-16,LF18037,Mammarenavirus lassaense,partial,Liberia: Nimba,Liberia,Homo sapiens,blood,2018-02-13,2018-02-13,MH215283,Liberia
MH215285,Mammarenavirus lassaense,"Wiley,M.R., Prieto,K., Reyes,D., Chitty,J.A., Fakoli,L., Bolay,F., Palacios,G.","United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences",USA,2019-04-16,LF18040,Mammarenavirus lassaense,partial,Liberia: Monsterrado,Liberia,Homo sapiens,blood,2018-03-02,2018-03-02,MH215285,Liberia
MH215287,Mammarenavirus lassaense,"Wiley,M.R., Prieto,K., Reyes,D., Chitty,J.A., Fakoli,L., Bolay,F., Palacios,G.","United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences",USA,2019-04-16,LF18041,Mammarenavirus lassaense,partial,Liberia: Monsterrado,Liberia,Homo sapiens,blood,2018-03-03,2018-03-03,MH215287,Liberia
MH215289,Mammarenavirus lassaense,"Wiley,M.R., Prieto,K., Reyes,D., Chitty,J.A., Fakoli,L., Bolay,F., Palacios,G.","United States Army Medical Research Institute of Infectious Diseases (USAMRIID), Center for Genome Sciences",USA,2019-04-16,LF18042,Mammarenavirus lassaense,partial,Liberia: Nimba,Liberia,Homo sapiens,blood,2018-03-01,2018-03-01,MH215289,Liberia
MG812631,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,807987,Mammarenavirus lassaense,partial,Liberia,Liberia,Homo sapiens,blood,1981,1981,MG812631,Liberia
MG812632,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,807978,Mammarenavirus lassaense,partial,Liberia,Liberia,Homo sapiens,blood,1981,1981,MG812632,Liberia
MG812635,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,807876,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,1981,1981,MG812635,Nigeria
MG812636,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,806829,Mammarenavirus lassaense,partial,Liberia,Liberia,Homo sapiens,blood,1981,1981,MG812636,Liberia
MG812639,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,806827,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Homo sapiens,lung,1977,1977,MG812639,Sierra Leone
MG812641,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,806593,Mammarenavirus lassaense,partial,Nigeria,Nigeria,Homo sapiens,blood,1989,1989,MG812641,Nigeria
MG812643,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,806568,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,,blood,1979,1979,MG812643,Sierra Leone
MG812645,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,806387,Mammarenavirus lassaense,partial,Guinea,Guinea,Homo sapiens,blood,1981,1981,MG812645,Guinea
MG812647,Mammarenavirus lassaense,"Welch,S.R., Davis,W.G., Patel,K., Albarino,C.G., Stroher,U.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2019-01-31,803209,Mammarenavirus lassaense,partial,Sierra Leone,Sierra Leone,Homo sapiens,blood,1975,1975,MG812647,Sierra Leone
